Channel,Followers,Peak viewers
Maghla,329065,16695
Becca,357844,11405
SirhcEz,579629,5928
twlevewinsHS,38410,5425
코렛트 (collet11),215304,6144
Zombie_Barricades,172386,4497
NBA2KLeague,143535,48495
XBOCT,318230,20110
shtan_udachi,100852,7220
orslok,327888,21759
BRNWOWZK1,173713,6981
HellYeahPlay,136885,3946
홍방장 (game2eye),183891,5698
grafo,414577,7165
xTheSolutionTV,320629,16093
Igromania,184078,6159
Back2Warcraft,94929,8309
超負荷 (sam1268),148702,11861
10000DAYS,356683,11193
iProMx,151788,8874
짬타수아 (zzamtiger0310),185684,6217
GingiTV,156597,6450
venruki,292558,13179
Pimpeano,740343,38592
MatteoHS,428553,5827
nugiyen,121984,8448
HighDistortion,1677690,20179
LuquEt4,74404,4958
THump,250786,8063
MaTaFe_,116653,8535
rxnexus,255944,6765
VaporaDark,101359,5041
PaymoneyWubby,302419,16622
RTGameCrowd,861594,20354
다주 (dda_ju),205041,9137
Bawkbasoup,94820,7853
견자희 (wkgml),415795,10656
Werlyb,204348,37980
TSM_Hamlinz,2137521,51989
DougisRaw,127151,22641
Mmorpg,235167,4994
BreaK,309300,9531
berkriptepe,622358,24573
Xposed,266853,8580
무굴 (moogrr1211),37162,2008
BoarControlHS,79204,3622
Dementardo,547154,15476
CrReaM,165906,8098
Xiuder_,312280,13675
SmallAnt,255156,11518
Naowh,103636,11693
Tonton,147542,9738
逼比 (bebelolz),260119,7592
踢虧 (takesipon),57634,8103
Vargskelethor,287063,6577
핑맨 (95pingman),195423,26738
LobosJr,375646,12709
ZONY,260125,7172
Monstercat,788684,14261
k1ng,706537,52558
DuelLinksMeta,88697,5792
Esports_Alliance,117084,27040
lolesportsla,186208,37187
Vovo,141898,7268
goncho,442412,18091
MenosTrece,470873,7132
swimstrim,137885,13314
AnneMunition,621921,37236
Reverse2k,380488,14160
erobb221,244207,10391
voicetv,3660,1874
FFearFFul,727059,116245
Cryaotic,813371,7169
Dmitry_Lixxx,347824,26715
Sweatcicle,160000,14550
tebtv,76050,13639
_연두부_ (lovelyyeon),108382,4282
pankylol,284563,17394
Alkaizerx,153870,12430
hastad,868738,10888
미라지 (mirage720),352412,30706
Tanxlive,244133,6899
Rogue,169330,7289
easywithaces,90359,18686
BeyondTheSummit_PT2,178612,126254
CarritosKami,165439,14634
dizzy,795869,19262
EAMaddenNFL,241924,57179
TobiasFate,701822,4681
PUBG,733628,35922
BananaSlamJamma,170181,5152
Dyrus,1474090,11338
Mushway,310100,9611
bazattak007,391413,11217
IFrostBolt,199618,6210
Kandyland,405554,9203
감블러 (9ambler),144116,11279
Sco,375911,15241
ProfessorBroman,732192,12676
Paoloidolo,183900,7659
1PVCS,71596,23081
강퀴 (kangqui),57130,10809
AkTep,222796,6300
햇살살 (hatsalsal),77861,3915
PardonMyTake,143916,141406
Sweet_Anita,972070,21594
Draineo,102225,7777
Cerbero_Podcast,179420,19298
cellinrj,245715,7136
SkyshockTV,114154,6213
Evangelion0,120494,8533
AnthonyZ,199617,7416
mokrivskyi,308815,29983
CaMaK,151886,9437
Uthenera,411346,9460
Corobizar,272635,11200
roflgator,106365,14329
QuarterJade,277256,12144
kutcherlol,198818,6802
DieHahn,231584,8048
chowh1,113551,8221
cacho01,269080,18552
natalan,529357,9561
DreamHackDota2_RU,203419,98717
DuendePablo,514073,10121
小夜夜 (albislol),146276,3740
UCCleague,226974,14003
貝克 (slrabbit99),106235,5944
Stewie2K,875087,27416
jorbs,70609,4084
BlackFIreIce,108895,3044
kurt0411,142446,26941
Herdyn,410224,4254
Frankkaster,826222,49127
